"","Panstwo","Kod","PKB","Populacja","Przyrost_populacji","Country_Code","Region","Urbanizacja_proc.","Internet_proc.","Populacja_mln","PKB_per_capita"
"1","Afghanistan","AFG",19469022208,34656032,2.69,"AFG","South Asia",27.132,10.6,34.656032,561.778746280013
"2","Angola","AGO",95335111741,28813463,3.37,"AGO","Sub-Saharan Africa",44.819,90.6,28.813463,3308.7002329779
"3","Albania","ALB",11863865978,2876101,-0.16,"ALB","Europe & Central Asia",58.376,13,2.876101,4124.98239039589
"4","Andorra","AND",2858517699,77281,-0.94,"AND","Europe & Central Asia",84.612,97.93,0.077281,36988.6220287005
"5","United Arab Emirates","ARE",3.49e+11,9269612,1.25,"ARE","Middle East & North Africa",85.804,76.18,9.269612,37649.9037931685
"6","Argentina","ARG",5.45e+11,43847430,0.98,"ARG","Latin America & Caribbean",91.893,67,43.84743,12429.4627986178
"7","Armenia","ARM",10572298342,2924816,0.27,"ARM","Europe & Central Asia",62.558,73,2.924816,3614.68835714794
"8","Antigua and Barbuda","ATG",1460144704,100963,1.04,"ATG","Latin America & Caribbean",23.393,70.97,0.100963,14462.1762824005
"9","Australia","AUS",1.2e+12,24127159,1.41,"AUS","East Asia & Pacific",89.554,88.24,24.127159,49736.4816139356
"10","Austria","AUT",3.91e+11,8747358,1.31,"AUT","Europe & Central Asia",66.032,84.32,8.747358,44699.2108931634
"11","Azerbaijan","AZE",37847715736,9762274,1.16,"AZE","Europe & Central Asia",54.895,78.2,9.762274,3876.93643263854
"12","Burundi","BDI",3007029030,10524117,3.14,"BDI","Sub-Saharan Africa",12.359,39.36,10.524117,285.727442026728
"13","Belgium","BEL",4.68e+11,11348159,0.65,"BEL","Europe & Central Asia",97.897,59.83,11.348159,41240.1694406996
"14","Benin","BEN",8583031398,10872298,2.76,"BEN","Sub-Saharan Africa",44.395,80,10.872298,789.440410665712
"15","Burkina Faso","BFA",11693235542,18646433,2.92,"BFA","Sub-Saharan Africa",30.688,41.77,18.646433,627.1030787497
"16","Bangladesh","BGD",2.21e+11,162951560,1.08,"BGD","South Asia",35.035,11.99,162.95156,1356.23126283664
"17","Bulgaria","BGR",53237882473,7127822,-0.7,"BGR","Europe & Central Asia",74.266,90,7.127822,7469.02524684258
"18","Bahrain","BHR",32179069149,1425171,3.81,"BHR","Middle East & North Africa",88.835,86.52,1.425171,22579.0934203685
"19","Bahamas, The","BHS",11261800000,391232,1.13,"BHS","Latin America & Caribbean",82.951,5.17,0.391232,28785.4776705382
"20","Bosnia and Herzegovina","BIH",16910277134,3516816,-0.54,"BIH","Europe & Central Asia",39.94,44.58,3.516816,4808.40542524829
"21","Belarus","BLR",47407217531,9507120,0.18,"BLR","Europe & Central Asia",77.046,18.25,9.50712,4986.49617665497
